dataset,depth,fake,deepset,test_acc_mean,test_acc_std
Proteins,1,False,False,0.748334938287735,0.039702824841580185
Proteins,2,False,False,0.7456563651561737,0.038239758878961805
Proteins,3,False,False,0.7429617166519165,0.034548118498597666
Proteins,4,False,False,0.7456644117832184,0.04024538714484466
Proteins,5,False,False,0.7456724524497986,0.03595852479664722
Proteins,1,False,True,0.7528877139091492,0.03596047757987783
Proteins,2,False,True,0.7484314620494843,0.03162006915702907
Proteins,3,False,True,0.7430662691593171,0.0439354582824933
Proteins,4,False,True,0.741167950630188,0.02468637606329854
Proteins,5,False,True,0.7456804931163787,0.02800671237450494
Proteins,1,True,False,0.7097409904003144,0.03641088270857629
Proteins,2,True,False,0.7115025699138642,0.0469584230062212
Proteins,3,True,False,0.6998471677303314,0.030981897728196962
Proteins,4,True,False,0.7061293482780456,0.030695813314672263
Proteins,5,True,False,0.711494529247284,0.03711348194373916
Proteins,1,True,True,0.7034507691860199,0.038776620194916435
Proteins,2,True,True,0.7070141494274139,0.04091081635797821
Proteins,3,True,True,0.7062017321586609,0.0373963060715835
Proteins,4,True,True,0.7070141553878784,0.05765444446627003
Proteins,5,True,True,0.7106740653514863,0.01712463175070298
