"Name","Tags","Sweep","dim1","dropout_p","early_topo","fold","num_coord_funs","num_filtrations","residual_and_bn","share_filtration_parameters","training_seed","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","val_acc","val_acc_epoch","val_acc_step","val_loss","val_loss_epoch","val_loss_step","validation_loss"
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","r50v1sms","true","0","true","","5","8","true","false","10527233","0.94760000705719","0.17535193264484406","1","1","0.012733819894492626","0.0127338208258152","0.9535999894142152","","","0.17647530138492584","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","true","56750292","0.9455000162124634","0.1847640573978424","1","1","0.003688570810481906","0.0036885710433125496","0.9531999826431274","","","0.21929782629013064","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","8","false","true","56750292","","","0.9666011333465576","0.984375","0.1016598418354988","0.03071107342839241","0.9526000022888184","","","0.15921005606651306","","",""
"LargerTopoGNN_MNIST Best prelim","LargerTopoGNN, MNIST","8dnm3k1v","true","0","true","","5","8","true","true","18741105","0.9437000155448914","0.17677393555641174","0.9921875","0.9921875","0.03728179261088371","0.03728179261088371","0.9520000219345092","","","0.17812517285346985","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","8","false","true","10527233","","","0.9905484914779664","0.984375","0.03126267343759537","0.03376679867506027","0.9517999887466432","","","0.21213550865650177","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","true","10527233","0.948300004005432","0.1847860962152481","0.9921875","0.9921875","0.020503448322415352","0.020503448322415352","0.9516000151634216","","","0.20107898116111755","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","false","56750292","0.944700002670288","0.18711644411087036","1","1","0.02136273868381977","0.02136273868381977","0.951200008392334","","","0.2047797441482544","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","8","false","false","56750292","","","0.995920717716217","1","0.016666466370224953","0.012523763813078403","0.9503999948501588","","","0.24525827169418335","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","false","10527233","0.944000005722046","0.18337054550647736","1","1","0.01485904771834612","0.01485904771834612","0.9498000144958496","","","0.213047593832016","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","false","13505250","","","0.993353009223938","1","0.025125516578555107","0.012081829831004144","0.9498000144958496","","","0.22145789861679077","","",""
